"";"Date";"Team_home";"Team_away";"Final_H";"Final_A";"nb_matchs";"unique_teamgoal";"pdata";"pred"
"213";2019-03-17;"Girondins de Bordeaux";"Stade Rennais FC";1;1;29;0;0,178707380594446;0
"214";2019-01-27;"Montpellier Hérault SC";"SM Caen";2;0;21;1;0,559736207400014;1
"215";2019-01-19;"Stade de Reims";"OGC Nice";1;1;21;0;0,392423346989928;0
"216";2019-02-03;"Nîmes Olympique";"Montpellier Hérault SC";1;1;23;0;0,498149825524;0
"217";2019-01-11;"SM Caen";"LOSC";1;3;20;0;0,192164447973648;0
"218";2019-03-17;"Stade de Reims";"FC Nantes";1;0;29;1;0,742289990676095;1
"219";2019-04-03;"RC Strasbourg Alsace";"Stade de Reims";4;0;30;1;0,505909414770921;1
"220";2019-01-16;"EA Guingamp";"Stade Rennais FC";2;1;20;0;0,398072710338815;0
"221";2019-02-10;"EA Guingamp";"LOSC";0;2;23;1;0,274061631979753;0
"222";2019-04-07;"Paris Saint-Germain";"RC Strasbourg Alsace";2;2;30;0;0,245276517526511;0
"223";2019-01-25;"Olympique de Marseille";"LOSC";1;2;21;0;0,270040338574419;0
"224";2019-03-10;"Montpellier Hérault SC";"Angers SCO";2;2;28;0;0,585807696481079;1
"225";2019-01-16;"Nîmes Olympique";"FC Nantes";1;0;19;1;0,74071612674005;1
"226";2019-04-07;"OGC Nice";"Montpellier Hérault SC";1;0;31;1;0,700177035597615;1
"227";2019-02-20;"Paris Saint-Germain";"Montpellier Hérault SC";5;1;24;0;0,356172708795225;0
"228";2019-01-27;"Amiens SC";"Olympique Lyonnais";0;1;22;1;0,391844626123924;0
"229";2019-01-20;"Angers SCO";"FC Nantes";1;0;20;1;0,652927181612994;1
"230";2019-03-10;"Olympique de Marseille";"OGC Nice";1;0;28;1;0,745990721395957;1
"231";2018-10-28;"Girondins de Bordeaux";"OGC Nice";0;1;11;1;0,786444992345929;1
"232";2019-03-03;"Olympique de Marseille";"AS Saint-Etienne";2;0;27;1;0,606151978965765;1
"233";2018-12-01;"EA Guingamp";"OGC Nice";0;0;15;1;0,971778801451541;1
"234";2019-01-11;"Olympique Lyonnais";"Stade de Reims";1;1;19;0;0,526240534487704;1
"235";2019-02-09;"RC Strasbourg Alsace";"Angers SCO";1;2;23;0;0,504280697943354;1
"236";2018-10-20;"Paris Saint-Germain";"Amiens SC";5;0;10;1;0,477461162818946;0
"237";2019-02-24;"Toulouse FC";"SM Caen";1;1;26;0;0,566198604924642;1
"238";2018-10-21;"OGC Nice";"Olympique de Marseille";0;1;10;1;0,819694869505724;1
"239";2019-03-03;"EA Guingamp";"FC Nantes";0;0;27;1;0,638588164241496;1
"240";2019-03-10;"Stade Rennais FC";"SM Caen";3;1;27;0;0,554410311421963;1
"241";2018-10-06;"LOSC";"AS Saint-Etienne";3;1;9;0;0,342899998250122;0
"242";2018-11-04;"FC Nantes";"EA Guingamp";5;0;12;1;0,840872217856642;1
"243";2019-02-01;"LOSC";"OGC Nice";4;0;23;1;0,874543251960343;1
"244";2019-03-15;"LOSC";"AS Monaco";0;1;29;1;0,59166861282854;1
"245";2019-03-31;"Dijon FCO";"OGC Nice";0;1;30;1;0,536965043957179;1
"246";2019-02-02;"Stade de Reims";"Olympique de Marseille";2;1;23;0;0,267660723841601;0
"247";2019-01-16;"Toulouse FC";"Olympique Lyonnais";2;2;20;0;0,465590965250879;0
"248";2019-03-29;"Stade Rennais FC";"Olympique Lyonnais";0;1;29;1;0,30124021833069;0
"249";2019-01-20;"Girondins de Bordeaux";"Dijon FCO";1;0;20;1;0,614268810646928;1
"250";2019-01-16;"AS Saint-Etienne";"Olympique de Marseille";2;1;20;0;0,28065661765679;0
"251";2019-01-20;"AS Saint-Etienne";"Olympique Lyonnais";1;2;21;0;0,178006899976089;0
"252";2019-03-31;"AS Monaco";"SM Caen";0;1;30;1;0,548271517072992;1
"253";2018-11-04;"AS Saint-Etienne";"Angers SCO";4;3;12;0;0,454197369086352;0
"254";2018-12-15;"Stade de Reims";"RC Strasbourg Alsace";2;1;18;0;0,13183922442424;0
"255";2019-01-08;"Amiens SC";"Angers SCO";0;0;19;1;0,705555665822141;1
"256";2019-02-02;"Angers SCO";"Dijon FCO";1;0;23;1;0,508764146947073;1
"257";2019-02-05;"Olympique de Marseille";"Girondins de Bordeaux";1;0;23;1;0,631329187416745;1
"258";2019-01-20;"Stade Rennais FC";"Montpellier Hérault SC";0;0;21;1;0,618731254001475;1
"259";2019-02-23;"EA Guingamp";"Angers SCO";1;0;26;1;0,485692277655788;0
"260";2018-10-21;"Montpellier Hérault SC";"Girondins de Bordeaux";2;0;10;1;0,563249475753905;1
"261";2019-03-09;"RC Strasbourg Alsace";"Olympique Lyonnais";2;2;28;0;0,353330271527101;0
"262";2018-10-28;"Stade Rennais FC";"Stade de Reims";0;2;11;1;0,386458496926893;0
"263";2018-11-11;"Olympique de Marseille";"Dijon FCO";2;0;13;1;0,865713738285999;1
"264";2018-10-07;"AS Monaco";"Stade Rennais FC";1;2;9;0;0,0557530527861566;0
"265";2019-02-16;"Angers SCO";"OGC Nice";3;0;25;1;0,585601850215498;1
"266";2018-10-20;"FC Nantes";"Toulouse FC";4;0;10;1;0,464166524395208;0
"267";2018-11-10;"Angers SCO";"Montpellier Hérault SC";1;0;13;1;0,630453481790736;1
"268";2019-03-16;"EA Guingamp";"Dijon FCO";1;0;29;1;0,676506266313181;1
"269";2019-02-16;"AS Monaco";"FC Nantes";1;0;25;1;0,974842835684419;1
"270";2019-03-17;"Olympique Lyonnais";"Montpellier Hérault SC";3;2;29;0;0,528865860027124;1
"271";2018-11-10;"Toulouse FC";"Amiens SC";0;1;13;1;0,417572412890618;0
"272";2019-02-16;"Olympique de Marseille";"Amiens SC";2;0;25;1;0,652205322741347;1
"273";2018-12-01;"Nîmes Olympique";"Amiens SC";3;0;15;1;0,685804923129226;1
"274";2019-02-17;"Girondins de Bordeaux";"Toulouse FC";2;1;24;0;0,382761291439893;0
"275";2019-02-22;"Dijon FCO";"AS Saint-Etienne";0;1;25;1;0,421640428331537;0
"276";2018-12-22;"Stade Rennais FC";"Nîmes Olympique";4;0;18;1;0,57394765512916;1
"277";2019-03-09;"Dijon FCO";"Stade de Reims";1;1;27;0;0,453257803421634;0
"278";2018-12-22;"Montpellier Hérault SC";"Olympique Lyonnais";1;1;17;0;0,280822442548376;0
"279";2019-04-06;"Amiens SC";"AS Saint-Etienne";2;2;31;0;0,308261450145372;0
"280";2018-11-03;"Olympique Lyonnais";"Girondins de Bordeaux";1;1;12;0;0,443281289502619;0
"281";2018-11-10;"EA Guingamp";"Olympique Lyonnais";2;4;13;0;0,512202526905457;1
"282";2018-11-30;"AS Saint-Etienne";"FC Nantes";3;0;15;1;0,648179152114423;1
"283";2019-02-17;"SM Caen";"RC Strasbourg Alsace";0;0;25;1;0,211903467648847;0
"284";2018-10-06;"EA Guingamp";"Montpellier Hérault SC";1;1;9;0;0,918819476399525;1
"285";2018-11-24;"Stade de Reims";"EA Guingamp";2;1;14;0;0,343582358714097;0
"286";2018-10-06;"Angers SCO";"RC Strasbourg Alsace";2;2;9;0;0,325601145331411;0
"287";2019-04-07;"Toulouse FC";"FC Nantes";1;0;31;1;0,733753665618466;1
"288";2019-04-03;"Montpellier Hérault SC";"EA Guingamp";2;0;30;1;0,727672836496543;1
"289";2018-11-03;"SM Caen";"Stade Rennais FC";1;2;12;0;0,0340755874770012;0
"290";2019-02-10;"Montpellier Hérault SC";"AS Monaco";2;2;23;0;0,530841267477055;1
"291";2018-10-20;"Dijon FCO";"LOSC";1;2;10;0;0,595651625927389;1
"292";2018-12-22;"LOSC";"Toulouse FC";1;2;19;0;0,54551956778525;1
"293";2019-02-24;"AS Monaco";"Olympique Lyonnais";2;0;26;1;0,524950741213842;1
"294";2019-03-12;"Dijon FCO";"Paris Saint-Germain";0;4;28;1;0,414261969937571;0
"295";2018-12-05;"SM Caen";"Nîmes Olympique";1;2;16;0;0,163672266380337;0
"296";2018-10-27;"AS Monaco";"Dijon FCO";2;2;11;0;0,527903926224312;1
"297";2018-12-05;"Stade de Reims";"Toulouse FC";0;1;16;1;0,122634498183432;0
"298";2019-01-26;"Dijon FCO";"AS Monaco";2;0;21;1;0,791130479147737;1
"299";2019-01-13;"Dijon FCO";"Montpellier Hérault SC";1;1;19;0;0,586532363865501;1
